┌─────────┬──────────────────────────────┬─────────┐
| (index) │             tag              │  freq   │
│   149   │           'table'            │  15698  │
│   150   │       'tableCitation'        │  22439  │
│   151   │         'tableNote'          │   515   │
│   152   │         'taxonName'          │    4    │
│   153   │     'taxonNameAuthority'     │   125   │
│   154   │       'taxonomicName'        │ 2749764 │
│   155   │     'taxonomicNameLabel'     │ 244003  │
│   156   │    'taxonomicNameLabell'     │    1    │
│   157   │     'taxonomicNameLable'     │    1    │
│   158   │      'taxonomicNameOld'      │   29    │
│   159   │           'tbody'            │    2    │
│   160   │             'td'             │ 840887  │
│   161   │             'th'             │  10540  │
│   162   │           'thead'            │    8    │
│   163   │           'title'            │  3744   │
│   164   │        'tnCandidate'         │   685   │
│   165   │             'tr'             │ 170635  │
│   166   │           'trait'            │    1    │
│   167   │         'traitTerm'          │   199   │
│   168   │         'treatment'          │ 289546  │
│   169   │     'treatmentCitation'      │ 209823  │
│   170   │   'treatmentCitationGroup'   │ 102631  │
│   171   │   'treatmentCitationLabel'   │   14    │
│   172   │      'treatmentHeading'      │   25    │
│   173   │         'typeStatus'         │ 443848  │
│   174   │            'uri'             │   337   │
│   175   │            'uuid'            │   401   │
│   176   │        'verbatimSoil'        │    4    │
│   177   │     'verbatimVegetation'     │   90    │
│   178   │       'vernacularName'       │   148   │
│   179   │        'volumeTitle'         │   285   │
│   180   │            'word'            │  39644  │
│   181   │            'year'            │  3669   │
└─────────┴──────────────────────────────┴─────────┘
extracted unique tags from 289291 files in 961222.71 ms
